,UUID,VIN,MAKE,MODEL,MILEAGE,YEAR,PRICE,ZIPCODE,CREATEDATE,UPDATEDATE
,0000000310,21900000121,Toyota,Corolla,1820,2101,202.10,,,
,0000000311,21900000122,Toyota,Corolla,1821,2102,202.11,,,
,0000000312,21900000123,Toyota,Corolla,1822,2103,202.12,,,
,0000000313,21900000124,Toyota,Corolla,1823,2104,202.13,,,
,0000000314,21900000125,Toyota,Corolla,1824,2105,202.14,,,
,0000000315,21900000126,Toyota,Corolla,1825,2106,202.15,,,
,0000000316,21900000127,Toyota,Corolla,1826,2107,202.16,,,
,0000000317,21900000128,Toyota,Corolla,1827,2108,202.17,,,
,0000000318,21900000129,Toyota,Corolla,1828,2109,202.18,,,
,0000000319,21900000130,Toyota,Corolla,1829,2110,202.19,,,
,0000000320,21900000131,Toyota,Corolla,1830,2111,202.20,,,
,0000000321,21900000132,Toyota,Corolla,1831,2112,202.21,,,
,0000000322,21900000133,Toyota,Corolla,1832,2113,202.22,,,
,0000000323,21900000134,Toyota,Corolla,1833,2114,202.23,,,
,0000000324,21900000135,Toyota,Corolla,1834,2115,202.24,,,
,0000000325,21900000136,Toyota,Corolla,1835,2116,202.25,,,
,0000000326,21900000137,Toyota,Corolla,1836,2117,202.26,,,
,0000000327,21900000138,Toyota,Corolla,1837,2118,202.27,,,
,0000000328,21900000139,Toyota,Corolla,1838,2119,202.28,,,
,0000000329,21900000140,Toyota,Corolla,1839,2120,202.29,,,
,0000000330,21900000141,Toyota,Corolla,1840,2121,202.30,,,
,0000000331,21900000142,Toyota,Corolla,1841,2122,202.31,,,
,0000000332,21900000143,Toyota,Corolla,1842,2123,202.32,,,
,0000000333,21900000144,Toyota,Corolla,1843,2124,202.33,,,
,0000000334,21900000145,Toyota,Corolla,1844,2125,202.34,,,
,0000000335,21900000146,Toyota,Corolla,1845,2126,202.35,,,
,0000000336,21900000147,Toyota,Corolla,1846,2127,202.36,,,
,0000000337,21900000148,Toyota,Corolla,1847,2128,202.37,,,
,0000000338,21900000149,Toyota,Corolla,1848,2129,202.38,,,
,0000000339,21900000150,Toyota,Corolla,1849,2130,202.39,,,
,0000000340,21900000151,Toyota,Corolla,1850,2131,202.40,,,
,0000000341,21900000152,Toyota,Corolla,1851,2132,202.41,,,
,0000000342,21900000153,Toyota,Corolla,1852,2133,202.42,,,
,0000000343,21900000154,Toyota,Corolla,1853,2134,202.43,,,
,0000000344,21900000155,Toyota,Corolla,1854,2135,202.44,,,
,0000000345,21900000156,Toyota,Corolla,1855,2136,202.45,,,
,0000000346,21900000157,Toyota,Corolla,1856,2137,202.46,,,
,0000000347,21900000158,Toyota,Corolla,1857,2138,202.47,,,
,0000000348,21900000159,Toyota,Corolla,1858,2139,202.48,,,
,0000000349,21900000160,Toyota,Corolla,1859,2140,202.49,,,
,0000000350,21900000161,Toyota,Corolla,1860,2141,202.50,,,
,0000000351,21900000162,Toyota,Corolla,1861,2142,202.51,,,
,0000000352,21900000163,Toyota,Corolla,1862,2143,202.52,,,
,0000000353,21900000164,Toyota,Corolla,1863,2144,202.53,,,
,0000000354,21900000165,Toyota,Corolla,1864,2145,202.54,,,
,0000000355,21900000166,Toyota,Corolla,1865,2146,202.55,,,
,0000000356,21900000167,Toyota,Corolla,1866,2147,202.56,,,
,0000000357,21900000168,Toyota,Corolla,1867,2148,202.57,,,
,0000000358,21900000169,Toyota,Corolla,1868,2149,202.58,,,
,0000000359,21900000170,Toyota,Corolla,1869,2150,202.59,,,
,0000000360,21900000171,Toyota,Corolla,1870,2151,202.60,,,
,0000000361,21900000172,Toyota,Corolla,1871,2152,202.61,,,
,0000000362,21900000173,Toyota,Corolla,1872,2153,202.62,,,
,0000000363,21900000174,Toyota,Corolla,1873,2154,202.63,,,
,0000000364,21900000175,Toyota,Corolla,1874,2155,202.64,,,
,0000000365,21900000176,Toyota,Corolla,1875,2156,202.65,,,
,0000000366,21900000177,Toyota,Corolla,1876,2157,202.66,,,
,0000000367,21900000178,Toyota,Corolla,1877,2158,202.67,,,
,0000000368,21900000179,Toyota,Corolla,1878,2159,202.68,,,
,0000000369,21900000180,Toyota,Corolla,1879,2160,202.69,,,
,0000000370,21900000181,Toyota,Corolla,1880,2161,202.70,,,
,0000000371,21900000182,Toyota,Corolla,1881,2162,202.71,,,
,0000000372,21900000183,Toyota,Corolla,1882,2163,202.72,,,
,0000000373,21900000184,Toyota,Corolla,1883,2164,202.73,,,
,0000000374,21900000185,Toyota,Corolla,1884,2165,202.74,,,
,0000000375,21900000186,Toyota,Corolla,1885,2166,202.75,,,
,0000000376,21900000187,Toyota,Corolla,1886,2167,202.76,,,
,0000000377,21900000188,Toyota,Corolla,1887,2168,202.77,,,
,0000000378,21900000189,Toyota,Corolla,1888,2169,202.78,,,
,0000000379,21900000190,Toyota,Corolla,1889,2170,202.79,,,
,0000000380,21900000191,Toyota,Corolla,1890,2171,202.80,,,
,0000000381,21900000192,Toyota,Corolla,1891,2172,202.81,,,
,0000000382,21900000193,Toyota,Corolla,1892,2173,202.82,,,
,0000000383,21900000194,Toyota,Corolla,1893,2174,202.83,,,
,0000000384,21900000195,Toyota,Corolla,1894,2175,202.84,,,
,0000000385,21900000196,Toyota,Corolla,1895,2176,202.85,,,
,0000000386,21900000197,Toyota,Corolla,1896,2177,202.86,,,
,0000000387,21900000198,Toyota,Corolla,1897,2178,202.87,,,
,0000000388,21900000199,Toyota,Corolla,1898,2179,202.88,,,
